Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Don't know,White,Male,16,34,1,60
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",Refused,White,Female,13,38,0,37
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,11,79,2,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",Don't know,White,Female,16,47,2,60
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,46,3,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Female,12,31,1,42
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Don't know,White,Male,16,34,2,50
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,17,25,0,61
Working fulltime,Private,No,No,Not at all likely,Very easy,Not too likely,"Suburb, lrg city",$60000 to 74999,White,Male,16,40,4,52
"Unempl, laid off",Private,No answer,No answer,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,12,No answer,5,35
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,City gt 250000,$35000 to 39999,White,Female,17,33,2,61
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,Not applicable,White,Male,15,30,0,45
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not likely,City gt 250000,$50000 to 59999,White,Female,18,57,2,59
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$50000 to 59999,White,Male,16,49,2,38
Working fulltime,Private,No,No,Not at all likely,Not easy,Fairly likely,City gt 250000,$40000 to 49999,Black,Male,13,44,2,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,15,34,2,39
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",$40000 to 49999,White,Male,16,31,0,56
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$10000 to 12499,White,Female,14,45,3,35
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$40000 to 49999,Black,Male,14,31,3,45
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,10,28,1,44
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Refused,Black,Male,14,34,1,73
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Black,Female,15,30,2,58
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$5 000 to 5 999,Black,Female,13,19,0,59
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$40000 to 49999,White,Male,16,29,1,64
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,16,33,1,40
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Male,12,31,1,43
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$90000 - $109999,White,Male,16,28,0,63
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Black,Male,13,38,3,43
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$10000 to 12499,Black,Female,16,30,2,48
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$60000 to 74999,White,Male,20,50,0,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,No answer,White,Male,16,24,0,0
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Fairly likely,City gt 250000,Not applicable,White,Male,13,49,0,45
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,City gt 250000,Don't know,White,Male,12,38,0,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not too likely,City gt 250000,$90000 - $109999,White,Male,14,44,2,44
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,$25000 to 29999,White,Male,12,45,0,38
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"City,50-250000",Don't know,White,Female,12,38,3,45
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,79,2,47
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$110000 or over,White,Male,10,63,2,53
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,White,Female,7,33,2,45
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Don't know,White,Male,11,32,0,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,City gt 250000,Don't know,White,Male,9,27,3,31
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$25000 to 29999,White,Male,11,45,0,35
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,City gt 250000,Don't know,White,Male,11,28,3,34
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,Don't know,White,Male,16,49,1,66
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,14,62,0,73
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",$40000 to 49999,White,Male,14,30,2,47
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,Black,Male,18,59,1,61
Working fulltime,Private,No,No,Very likely,Not easy,Fairly likely,"Suburb, lrg city",$30000 to 34999,White,Male,14,23,1,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,Black,Female,12,44,3,60
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,6,38,5,28
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not too likely,"Suburb, lrg city",$25000 to 29999,White,Male,12,28,0,53
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,12,50,2,39
Working fulltime,Private,Yes,No,Very likely,Not easy,Not likely,"Suburb, lrg city",Not applicable,Black,Male,12,33,1,25
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,12,40,1,48
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$15000 to 17499,Other,Male,16,26,0,50
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,City gt 250000,$110000 or over,White,Female,18,34,0,39
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$1 000 to 2 999,White,Male,16,24,0,48
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,$40000 to 49999,White,Female,16,28,1,47
Working fulltime,Private,Yes,Yes,Very likely,Not easy,Very likely,"Suburb, lrg city",$30000 to 34999,Other,Male,14,48,1,31
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,26,0,44
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"Suburb, lrg city",Under $1 000,Black,Male,9,64,0,35
"Unempl, laid off",Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$3 000 to 3 999,Black,Female,12,41,0,31
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not too likely,"Suburb, lrg city",$40000 to 49999,Black,Male,15,37,6,46
Working fulltime,Private,Yes,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,Black,Female,13,28,3,49
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,Black,Female,16,57,0,61
"Unempl, laid off",Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,Black,Female,16,59,0,60
Working parttime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"Suburb, lrg city",Under $1 000,White,Female,18,64,2,46
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Male,15,32,0,31
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,White,Male,16,40,2,53
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,66,2,51
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,"Uninc,lrg city",$40000 to 49999,White,Male,16,28,0,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$75000 to $89999,Other,Female,16,42,3,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not too likely,"Uninc,lrg city",Refused,White,Male,16,41,0,60
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"Uninc,lrg city",$110000 or over,White,Male,19,28,1,69
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not likely,"Uninc,lrg city",$110000 or over,White,Male,20,50,2,40
Working fulltime,Private,No,No,Somewhat likely,Very easy,Fairly likely,"Uninc,lrg city",$10000 to 12499,Other,Male,18,39,1,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,White,Male,16,37,1,61
Working fulltime,Private,Yes,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Black,Male,11,40,1,25
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Black,Female,13,44,3,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Female,12,58,3,45
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"Suburb, lrg city",$40000 to 49999,Other,Male,13,29,1,34
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$60000 to 74999,Black,Female,16,45,2,64
Retired,Government,Yes,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,13,66,1,46
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,$22500 to 24999,White,Female,12,43,3,28
Working fulltime,Government,No,No,Somewhat likely,Not applicable,Not applicable,City gt 250000,$30000 to 34999,Black,Female,13,36,2,32
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Very likely,City gt 250000,Not applicable,Other,Female,12,48,4,48
Working fulltime,Government,No,No,No answer,No answer,No answer,City gt 250000,No answer,Black,Female,12,41,2,0
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,City gt 250000,$25000 to 29999,Black,Female,12,51,2,48
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Uninc,lrg city",$17500 to 19999,White,Female,12,50,2,38
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"Uninc,lrg city",$110000 or over,White,Male,17,46,0,43
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$50000 to 59999,White,Female,16,54,2,64
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",Refused,White,Female,13,35,3,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$40000 to 49999,White,Female,14,38,1,48
Working fulltime,Private,No,No,Not at all likely,Very easy,Not too likely,"Uninc,lrg city",Don't know,White,Male,12,46,2,42
"Unempl, laid off",Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",No answer,White,Male,16,25,2,53
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not too likely,"Uninc,lrg city",$30000 to 34999,White,Female,15,59,2,64
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",$90000 - $109999,White,Female,16,45,0,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$75000 to $89999,Black,Female,18,43,2,65
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$110000 or over,White,Male,16,51,2,47
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,City gt 250000,Not applicable,White,Male,16,45,0,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$60000 to 74999,Black,Female,18,40,2,61
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,City gt 250000,$90000 - $109999,White,Male,16,52,0,53
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not likely,City gt 250000,$35000 to 39999,White,Female,19,34,0,55
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not too likely,City gt 250000,$110000 or over,White,Male,19,57,1,51
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,Other,Female,12,48,3,38
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Uninc,lrg city",$10000 to 12499,Other,Male,9,39,4,38
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Refused,White,Female,7,31,3,33
